ADEP,ADES,TYPE
LPPT,SBGR,A339
LPPT,SBGL,A339
LFPG,SBGR,A359
LPPT,SBRF,A21N
LTFM,SBGR,A359
LPPT,SBGR,B77W
LPPT,SBBR,A339
EHAM,SBGL,B772
LPPT,SBCF,A339
LFPG,SBGR,B77W
EHAM,SBGR,B77W
LEMD,SBGR,A359
EDDM,SBGR,A359
LFPG,SBGL,B77W
LFPG,SBGR,B789
LEBL,SBGR,B789
LPPT,SBGR,A339
LFPG,SBGL,B772
LPPT,SBGL,A339
LPPT,SBKP,A339
LPPT,SBGR,B789
LEMD,SBSV,B788
LPPT,SBKP,B763
LPPT,SBRF,A332
LPPT,SBSV,A339
LTFM,SBGR,A359
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EGLL,SBGR,A35K
EDDF,SBGL,B789
LSZH,SBGR,B77W
LEMD,SBGR,B789
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,A359
LEMD,SBGR,B789
LPPT,SBGL,A339
LPPT,SBGR,A339
LTFM,SBGR,A359
LPPT,SBGR,B77W
LFPG,SBGR,B77W
LFPG,SBSV,A359
LFPG,SBGL,B77W
EHAM,SBGR,B77W
LPPT,SBKP,B772
EDDF,SBKP,B77L
EHAM,SBGL,B789
LPPT,SBBR,A339
LFPG,SBGR,B789
LEBL,SBGR,B789
LEMD,SBGL,A332
EGLL,SBGR,B788
LEMD,SBGR,A359
LPPT,SBGR,A339
LPPT,SBGL,A339
LPPT,SBGR,B789
LPPT,SBSV,A332
LPPT,SBRF,A339
LPPT,SBGR,A339
LTFM,SBGR,A359
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EGLL,SBGR,A35K
LEMD,SBGR,B789
LEMD,SBGR,B789
LSZH,SBGR,B77W
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,B789
LEMD,SBGR,A333
LPPT,SBGR,A339
LPPT,SBGL,A339
LPPT,SBRF,A21N
LTFM,SBGR,A359
LPPT,SBGR,B77W
EHAM,SBGL,B772
LFPG,SBGR,B77W
LFPG,SBGL,B77W
EHAM,SBGR,B77W
LPPT,SBBR,A339
LPPT,SBKP,B772
EDDM,SBGR,A359
LPPT,SBCF,A339
LEMD,SBGR,A359
LFPG,SBGR,B789
LPPT,SBGR,A339
LPPT,SBKP,A332
LEMD,SBSV,B788
LPPT,SBRF,A332
LPPT,SBSV,A339
LEMD,SBGL,GLF6
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EGLL,SBGR,A35K
EDDF,SBGL,B789
LSZH,SBGR,B77W
LEMD,SBGR,B789
LFPG,SBGR,A359
EGLL,SBGL,A35K
LEMD,SBGR,A333
LEMD,SBGR,B789
LPPT,SBGR,A339
LPPT,SBGL,A339
LTFM,SBGR,A359
LFPG,SBGR,B77W
LPPT,SBCF,A339
EHAM,SBGL,B772
LFPG,SBGL,B77W
LPPT,SBGR,B77W
EHAM,SBGR,B77W
LPPT,SBKP,B772
LEMD,SBGR,A359
LEMD,SBGL,A332
LFPG,SBGR,B789
EDDF,SBCT,B77L
EGLL,SBGR,B789
LPPT,SBGR,A339
LFPG,SBGL,B772
LPPT,SBKP,A332
LPPT,SBGL,A339
LPPT,SBGR,B789
LPPT,SBKP,A339
LPPT,SBGR,A339
LPPT,SBRF,A332
LPPT,SBSV,A339
LTFM,SBGR,A359
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EDDF,SBGL,B789
EGLL,SBGR,A35K
LEMD,SBGR,B789
LSZH,SBGR,B77W
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,A332
LEMD,SBGR,B789
LPPT,SBGR,A339
LPPT,SBGL,A339
LPPT,SBRF,A21N
LTFM,SBGR,A359
LPPT,SBGR,B77W
LPPT,SBCF,A339
LFPG,SBGR,B77W
EHAM,SBGL,B772
EHAM,SBGR,B77W
LPPT,SBBR,A339
LFPG,SBGL,B77W
LFPG,SBSV,A359
LFPG,SBGR,B789
LEMD,SBGR,A359
LPPT,SBKP,B772
LEMD,SBGR,B789
LPPT,SBGR,A339
LPPT,SBGL,A339
LPPT,SBGR,B789
LPPT,SBGR,A339
LPPT,SBRF,A332
LPPT,SBSV,A332
EDDF,SBKP,B77L
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EGLL,SBGR,A35K
EDDF,SBGL,B789
LEMD,SBGR,B789
LSZH,SBGR,B77W
LEMD,SBGR,B789
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,B789
LEMD,SBGR,A332
LPPT,SBGL,A339
LTFM,SBGR,A359
LPPT,SBGR,A339
LPPT,SBGR,B77W
LFPG,SBSV,A359
LFPG,SBGR,B77W
LFPG,SBGL,B77W
LPPT,SBCF,A339
EHAM,SBGR,B789
LPPT,SBBR,A339
LPPT,SBKP,A332
LEMD,SBGR,A359
EDDM,SBGR,A359
LFPG,SBGR,B789
EHAM,SBGL,B772
LEBL,SBGR,B789
LEMD,SBGL,A332
LEMD,SBGR,B789
LFPG,SBGL,B772
LPPT,SBGR,A339
LPPT,SBGL,A332
LPPT,SBGR,B789
LPPT,SBKP,A339
LPPT,SBGR,A339
LTFM,SBGR,A359
LPPT,SBRF,A339
LPPT,SBSV,A339
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EGLL,SBGR,A35K
LEMD,SBGR,B789
LSZH,SBGR,B77W
LEMD,SBGR,B789
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,B789
LEMD,SBGR,A333
LPPT,SBGR,A339
LTFM,SBGR,A359
LPPT,SBGL,A339
LPPT,SBGR,B77W
EDDF,SBGL,A339
EHAM,SBGL,B772
LFPG,SBGL,B77W
LPPT,SBBR,A339
LPPT,SBCF,A339
EHAM,SBGR,B77W
LFPG,SBGR,B77W
LPPT,SBKP,B772
LFPG,SBGR,B789
LEMD,SBGL,A332
LEMD,SBGR,A359
EGLL,SBGR,B788
LPPT,SBGR,A339
LPPT,SBGR,B789
LPPT,SBKP,A332
LEMD,SBSV,B788
LPPT,SBRF,A339
LPPT,SBSV,A339
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBGR,B748
EDDF,SBGL,B789
EGLL,SBGR,A35K
LSZH,SBGR,B77W
LEMD,SBGR,B789
EGLL,SBGL,A35K
LEMD,SBGR,A333
LEMD,SBGR,B789
LPPT,SBGR,A339
LPPT,SBRF,A21N
LPPT,SBGL,A339
LTFM,SBGR,A359
LPPT,SBGR,B77W
LFPG,SBGR,A359
LPPT,SBBR,A339
LFPG,SBGR,B77W
EHAM,SBGL,B772
LFPG,SBGL,B77W
EHAM,SBGR,B77W
LPPT,SBKP,B772
LPPT,SBCF,A339
EDDM,SBGR,A359
LEMD,SBGR,A359
LFPG,SBGR,B789
LEMD,SBGL,A332
LEBL,SBGR,B789
LPPT,SBGR,A339
LFPG,SBGL,B772
LPPT,SBGL,A339
LPPT,SBKP,A339
LPPT,SBGR,B789
LPPT,SBRF,A332
LPPT,SBSV,A339
LTFM,SBGR,A359
EDDF,SBGR,B77W
EGLL,SBGR,B77W
EDDF,SBKP,B77L
EDDF,SBGR,B748
EDDF,SBGL,B789
EGLL,SBGR,A35K
LSZH,SBGR,B77W
LEMD,SBGR,B789
EGLL,SBGL,A35K
LFPG,SBGR,A359
LEMD,SBGR,B789
LPPT,SBGR,GLF6
LPPT,SBGR,A339
LPPT,SBGL,A339
LEMD,SBGR,A359
LTFM,SBGR,A359
LPPT,SBGR,B77W
LFPG,SBSV,A359
LPPT,SBBR,A339
EHAM,SBGL,B772
LFPG,SBGR,B77W
LFPG,SBGL,B77W
EHAM,SBGR,B789
LEMD,SBGR,A359
LEMD,SBGL,A332
LFPG,SBGR,B789
LEBL,SBGR,B789
EGLL,SBGR,B788
LPPT,SBKP,B772
LPPT,SBGR,A339
LPPT,SBGL,A339
LPPT,SBGR,B789
LPPT,SBGR,A339
LPPT,SBRF,A339
LPPT,SBSV,A332
LTFM,SBGR,A359
EDDF,SBGR,B77W
EGLL,SBGR,B77W
